T,M,U,Y1,Y2,Z1,Z2,R1,R2,EOLD1,EOLD2,E1,E2
514.34,1,0.195965822580436,-0.00564583810177766,-0.130769817654688,9.17014314339155,-0.133929566931023,-1.93565522557705e-05,-0.2,0.116406818540962,-0.349691004806591,-0.00566519465403343,-0.330769817654688
514.35,0,-0.0621304035678413,0.0627145799954221,-0.18997482261387,9.17014314339155,-0.133929566931023,-1.91959178930797e-05,-0.2,0.116406818540962,-0.349691004806591,0.062695384077529,-0.38997482261387
514.36,0,-0.152806930921943,-0.0340276188296329,-0.140840772106507,9.17171052799349,-0.146063722175413,-1.9036616587957e-05,-0.2,0.062695384077529,-0.38997482261387,-0.0340466554462209,-0.340840772106507
514.37,1,-0.152806930921943,-0.00534065766384373,-0.144502937361715,9.17085936160733,-0.13258371183298,-1.88786372777478e-05,-0.2,-0.0340466554462209,-0.340840772106507,-0.00535953630112148,-0.344502937361715
514.38,0,-0.0467317772248536,0.0123598077363241,-0.144197756923781,9.17085936160733,-0.13258371183298,-1.87219689916031e-05,-0.2,-0.0340466554462209,-0.340840772106507,0.0123410857673325,-0.344197756923781
514.39,1,-0.0467317772248536,-0.0331120775158311,-0.139925230792706,9.17116788875152,-0.131626969064599,-1.85666008497179e-05,-0.2,0.0123410857673325,-0.344197756923781,-0.0331306441166808,-0.339925230792706
514.4,1,-0.0467317772248536,-0.0730907148851756,-0.146639200427252,9.17116788875152,-0.131626969064599,-1.84125220625754e-05,-0.2,0.0123410857673325,-0.344197756923781,-0.0731091274072382,-0.346639200427252
514.41,1,-0.0467317772248536,0.0349431601434347,-0.0978103303578237,9.17116788875152,-0.131626969064599,-1.8259721930198e-05,-0.2,0.0123410857673325,-0.344197756923781,0.0349249004215045,-0.297810330357824
514.42,1,-0.0467317772248536,-0.0120546272983901,-0.129854276340886,9.17116788875152,-0.131626969064599,-1.81081898414039e-05,-0.2,0.0123410857673325,-0.344197756923781,-0.0120727354882315,-0.329854276340886
514.43,0,-0.137708222519099,-0.0267032883192186,-0.142977035172045,9.17116788875152,-0.131626969064599,-1.79579152730689e-05,-0.2,0.0123410857673325,-0.344197756923781,-0.0267212462344917,-0.342977035172045
514.44,1,-0.137708222519099,0.0648508430609596,-0.138094148165102,9.17049985759565,-0.120512216540644,-1.78088877894019e-05,-0.2,-0.0267212462344917,-0.342977035172045,0.0648330341731702,-0.338094148165102
